"","Date","Settlement","Observed_quantity_cassava","Observed_price_cassava","Observed_quantity_dodo","Observed_price_dodo","Observed_quantity_fish","Observed_price_fish","Observed_quantity_firewood","Observed_price_firewood","Observed_quantity_charcoal","Observed_price_charcoal","Country"
"1","2019-10","Kyangwali",2.49,1000,0.38,500,0.11,1500,NA,NA,NA,NA,"Uganda"
"2","2019-10","Kyangwali",2.45,1000,0.29,500,0.35,8000,NA,NA,NA,NA,"Uganda"
"3","2019-10","Kyangwali",2.96,1000,0.23,500,0.22,3000,NA,NA,NA,NA,"Uganda"
"4","2019-10","Kyaka II",1.4,1000,NA,NA,0.8,5000,NA,NA,0.7,1000,"Uganda"
"5","2019-10","Kyaka II",1.4,1000,NA,NA,0.5,5000,NA,NA,1.2,1000,"Uganda"
"6","2019-10","Kyangwali",2.45,1000,0.29,500,0.35,8000,5.05,1000,0.84,1000,"Uganda"
"7","2019-10","Kyangwali",2.96,1000,0.23,500,0.22,3000,5.05,1000,0.84,1000,"Uganda"
"8","2019-10","Kyangwali",2.49,1000,0.38,500,0.11,1500,7.1,1000,0.84,1000,"Uganda"
"9","2019-10","Palabek",NA,NA,0.6,1000,NA,NA,NA,NA,1.6,1000,"Uganda"
"10","2019-10","Palabek",3.3,1000,0.9,1000,NA,NA,14.2,2000,1.6,1000,"Uganda"
"11","2019-10","Palabek",3.4,1000,0.7,1000,NA,5000,NA,NA,0.3,1000,"Uganda"
"12","2019-10","Palorinya",3,1000,0.8,600,0.5,10000,15.5,2000,1.4,1000,"Uganda"
"13","2019-10","Palorinya",3.2,1000,0.7,600,0.4,8000,16,2000,1.5,1000,"Uganda"
"14","2019-10","Palorinya",2.2,1000,0.6,500,0.4,5000,NA,NA,1.8,1000,"Uganda"
"15","2019-10","Adjumani",1.8,1000,0.5,2000,0.4,14000,16,5000,8.2,6000,"Uganda"
"16","2019-10","Adjumani",1.6,1000,0.6,3000,0.4,15000,18,5000,8.1,6000,"Uganda"
"17","2019-10","Adjumani",1.3,1000,0.6,3000,0.35,12000,18,5000,8.2,7000,"Uganda"
"18","2019-10","Bidibidi",2.9,1000,1.4,1000,0.3,1000,NA,NA,2.1,500,"Uganda"
"19","2019-10","Bidibidi",2.1,1000,1.2,800,0.2,5000,6,1000,1.8,500,"Uganda"
"20","2019-10","Bidibidi",NA,NA,1,1000,0.1,3000,NA,NA,2.1,500,"Uganda"
"21","2019-10","Imvepi",NA,NA,1.2,1000,NA,NA,NA,NA,3.1,1000,"Uganda"
"22","2019-10","Imvepi",NA,NA,0.83,1000,0.306,5000,NA,NA,NA,1000,"Uganda"
"23","2019-10","Imvepi",NA,NA,1.84,1000,0.281,5000,NA,NA,2.1,1000,"Uganda"
"24","2019-10","Koboko/Lobule",1.8,1000,1.5,1000,0.2,5000,11,2000,1.7,1000,"Uganda"
"25","2019-10","Koboko/Lobule",1.6,1000,1.7,1000,0.1,5000,10,2000,1.6,1000,"Uganda"
"26","2019-10","Koboko/Lobule",NA,NA,2.7,1000,0.2,5000,17.9,2000,2,1000,"Uganda"
"27","2019-10","Oruchinga",1,2000,NA,NA,NA,NA,12,1000,100,1000,"Uganda"
"28","2019-10","Arua/Rhino Camp",3.1,1000,1,400,0.3,4400,1000,7,2,1000,"Uganda"
"29","2019-10","Arua/Rhino Camp",3.5,2000,1.2,1000,0.2,5000,8.1,1000,1.6,1000,"Uganda"
"30","2019-10","Arua/Rhino Camp",2.8,1000,0.7,400,NA,NA,7.8,1000,1.8,1000,"Uganda"
"31","2019-10","Adjumani",1.7,1000,0.5,3000,0.4,12000,NA,NA,NA,NA,"Uganda"
"32","2019-11","Rwamwanja",1.7,1000,0.2,500,0.7,10000,NA,NA,NA,NA,"Uganda"
"33","2019-11","Kyaka II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"34","2019-11","Kyaka II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"35","2019-11","Kyangwali",5,300,1,500,1,10000,NA,NA,NA,NA,"Uganda"
"36","2019-11","Kyangwali",1,500,1,2000,1,7500,NA,NA,NA,NA,"Uganda"
"37","2019-11","Kyangwali",1,500,1,500,1,10000,NA,NA,NA,NA,"Uganda"
"38","2019-11","Bidibidi",NA,NA,1,600,0.1,2000,NA,NA,NA,NA,"Uganda"
"39","2019-11","Bidibidi",NA,NA,1,600,0.4,5000,NA,NA,NA,NA,"Uganda"
"40","2019-11","Bidibidi",NA,NA,0.9,600,0.11,3000,NA,NA,NA,NA,"Uganda"
"41","2019-11","Bidibidi",2.5,1000,1.1,800,0.22,5000,NA,NA,NA,NA,"Uganda"
"42","2019-11","Koboko/Lobule",1.5,1000,1.3,1000,0.4,7000,NA,NA,NA,NA,"Uganda"
"43","2019-11","Koboko/Lobule",1.5,1000,1.3,1000,0.3,5500,NA,NA,NA,NA,"Uganda"
"44","2019-11","Koboko/Lobule",1.4,1000,1.5,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"45","2019-11","Kyaka II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"46","2019-11","Imvepi",NA,NA,0.6,400,NA,NA,NA,NA,NA,NA,"Uganda"
"47","2019-11","Imvepi",NA,NA,1.3,1000,NA,5000,NA,NA,NA,NA,"Uganda"
"48","2019-11","Imvepi",NA,NA,1.1,800,NA,5000,NA,NA,NA,NA,"Uganda"
"49","2019-11","Palabek",1.6,1000,0.6,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"50","2019-11","Palabek",0.7,1000,0.5,1000,0.1,4000,NA,NA,NA,NA,"Uganda"
"51","2019-11","Adjumani",1.2,1000,0.35,3000,0.4,16000,NA,NA,NA,NA,"Uganda"
"52","2019-11","Adjumani",1.4,1000,0.33,3000,0.4,17000,NA,NA,NA,NA,"Uganda"
"53","2019-11","Bidibidi",1,1000,0.9,600,0.2,6000,NA,NA,NA,NA,"Uganda"
"54","2019-11","Bidibidi",1.9,1200,0.8,600,0.4,5500,NA,NA,NA,NA,"Uganda"
"55","2019-11","Bidibidi",1.8,1000,0.8,800,0.2,5000,NA,NA,NA,NA,"Uganda"
"56","2019-11","Bidibidi",NA,NA,0.6,500,NA,NA,NA,NA,NA,NA,"Uganda"
"57","2019-11","Arua/Rhino Camp",3.5,1000,1.2,400,0.4,5000,NA,NA,NA,NA,"Uganda"
"58","2019-11","Arua/Rhino Camp",NA,NA,1,800,NA,NA,NA,NA,NA,NA,"Uganda"
"59","2019-11","Arua/Rhino Camp",2,1000,0.9,800,0.4,6500,NA,NA,NA,NA,"Uganda"
"60","2019-11","Rwamwanja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"61","2019-11","Imvepi",2,2000,0.9,1000,1,8000,NA,NA,NA,NA,"Uganda"
"62","2019-11","Kiryandongo",2,1000,1,1400,1,16000,NA,NA,NA,NA,"Uganda"
"63","2019-11","Adjumani",1.8,1000,0.6,2000,0.35,13000,NA,NA,NA,NA,"Uganda"
"64","2019-11","Adjumani",1.6,1000,0.5,2000,0.4,14000,NA,NA,NA,NA,"Uganda"
"65","2019-11","Adjumani",2.1,1000,0.6,2000,0.35,12000,NA,NA,NA,NA,"Uganda"
"66","2019-11","Bidibidi",2.3,1000,1.1,800,0.09,2000,NA,NA,NA,NA,"Uganda"
"67","2019-11","Bidibidi",2.1,1000,0.9,700,0.2,5000,NA,NA,NA,NA,"Uganda"
"68","2019-11","Bidibidi",2.6,1000,0.7,600,NA,NA,NA,NA,NA,NA,"Uganda"
"69","2019-11","Bidibidi",2.1,1000,0.8,800,0.25,5000,NA,NA,NA,NA,"Uganda"
"70","2019-11","Arua/Rhino Camp",3.2,2000,1,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"71","2019-11","Arua/Rhino Camp",3.5,1000,1.1,400,0.4,5500,NA,NA,NA,NA,"Uganda"
"72","2019-11","Palabek",3.1,1000,0.7,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"73","2019-11","Palabek",3.5,1000,0.9,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"74","2019-11","Palabek",3.1,1000,0.9,1000,0.02,5000,NA,NA,NA,NA,"Uganda"
"75","2019-11","Palorinya",3,1000,0.8,600,0.5,10000,NA,NA,NA,NA,"Uganda"
"76","2019-11","Palorinya",2.2,1000,0.6,500,0.4,5000,NA,NA,NA,NA,"Uganda"
"77","2019-11","Palorinya",3,1000,0.8,600,0.5,10000,NA,NA,NA,NA,"Uganda"
"78","2019-11","Bidibidi",4.2,1000,0.5,1000,0.25,5000,NA,NA,NA,NA,"Uganda"
"79","2019-11","Bidibidi",2.3,1000,0.65,800,0.15,5000,NA,NA,NA,NA,"Uganda"
"80","2019-11","Bidibidi",1.2,1000,0.8,800,0.1,2000,NA,NA,NA,NA,"Uganda"
"81","2019-11","Bidibidi",NA,NA,1.25,800,0.1,2000,NA,NA,NA,NA,"Uganda"
"82","2019-11","Kyaka II",1.4,1000,NA,NA,0.4,5000,NA,NA,NA,NA,"Uganda"
"83","2019-11","Oruchinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"84","2019-11","Oruchinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda"
"85","2019-11","Nakivale",2.5,1000,1.3,2000,350,6000,NA,NA,NA,NA,"Uganda"
"86","2019-11","Nakivale",2.3,1000,NA,NA,350,6000,NA,NA,NA,NA,"Uganda"
"87","2019-11","Nakivale",2.5,1000,1.3,2000,NA,NA,NA,NA,NA,NA,"Uganda"
"88","2019-11","Imvepi",NA,1000,640,500,0.51,4300,NA,NA,NA,NA,"Uganda"
"89","2019-11","Imvepi",NA,NA,1.93,1000,0.82,5000,NA,NA,NA,NA,"Uganda"
"90","2019-11","Imvepi",NA,NA,0.992,600,0.82,4000,NA,NA,NA,NA,"Uganda"
"91","2019-11","Adjumani",1.6,1000,0.6,2000,0.4,16000,NA,NA,NA,NA,"Uganda"
"92","2019-11","Adjumani",1.8,1000,0.6,2500,0.4,17000,NA,NA,NA,NA,"Uganda"
"93","2019-11","Adjumani",1,1000,0.6,2000,0.4,13000,NA,NA,NA,NA,"Uganda"
"94","2019-11","Kyangwali",1,250,1,1600,1,16700,NA,NA,NA,NA,"Uganda"
"95","2019-11","Kyangwali",1,450,1,1700,1,15900,NA,NA,NA,NA,"Uganda"
"96","2019-11","Kyangwali",1,350,1,1650,1,16900,NA,NA,NA,NA,"Uganda"
"97","2019-11","Arua/Rhino Camp",2,1000,0.4,500,NA,NA,NA,NA,NA,NA,"Uganda"
"98","2019-11","Arua/Rhino Camp",4.5,1000,0.6,600,NA,NA,NA,NA,NA,NA,"Uganda"
"99","2019-11","Arua/Rhino Camp",3,1000,1,400,0.4,4500,NA,NA,NA,NA,"Uganda"
"100","2019-11","Koboko/Lobule",1.5,1000,1.8,1000,0.3,5000,NA,NA,NA,NA,"Uganda"
"101","2019-11","Koboko/Lobule",1.2,1000,1.2,1000,0.4,5000,NA,NA,NA,NA,"Uganda"
"102","2019-11","Koboko/Lobule",1,1000,0.8,1000,0.4,5500,NA,NA,NA,NA,"Uganda"
"103","2019-11","Palabek",3.5,1000,0.5,1000,0.02,7000,NA,NA,NA,NA,"Uganda"
"104","2019-11","Palabek",1.6,1000,0.4,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"105","2019-11","Palabek",1.4,1000,0.9,1000,NA,NA,NA,NA,NA,NA,"Uganda"
"106","2019-11","Palorinya",1.8,1000,0.8,1000,0.4,5000,NA,NA,NA,NA,"Uganda"
